Last name,First name,Student ID,email,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,HW10,M1,M2,Final,,,,,,,,,,,,,,,,,,,,,,,
Alf,Brian,59118211,yourname@buffalo.edu,96,90,88,93,96,97,88,100,88,88,0,60,59,,,,,,,,,,,,,,,,,,,,,,,
Anderson,Jill,59260567,yourname@buffalo.edu,73,83,96,80,84,99,80,87,88,72,80,52,42.5,,,,,,,,,,,,,,,,,,,,,,,
Archangel,Michael,59402923,yourname@buffalo.edu,99,80,60,94,98,73,97,100,89,88,41,56,0,,,,,,,,,,,,,,,,,,,,,,,
Astor,John,59545279,yourname@buffalo.edu,93,88,97,100,55,96,86,100,44,97,53,53,88,,,,,,,,,,,,,,,,,,,,,,,
Attach,Zach,59687635,yourname@buffalo.edu,69,75,61,65,91,89,82,92,75,68,90,63,69,,,,,,,,,,,,,,,,,,,,,,,
Bake,Jake,59829991,yourname@buffalo.edu,56,0,77,78,0,79,0,98,90,0,76,65,66.5,,,,,,,,,,,,,,,,,,,,,,,
Banana,Anna,59972347,yourname@buffalo.edu,92,49,91,74,91,100,100,95,97,96,95,92,93.5,,,,,,,,,,,,,,,,,,,,,,,
Barbie,Ken,60114703,yourname@buffalo.edu,98,98,90,95,87,98,93,96,90,88,93,98,94,,,,,,,,,,,,,,,,,,,,,,,
Bees,Apple,60257059,yourname@buffalo.edu,72,80,82,65,34,72,45,95,90,68,82,84,72.5,,,,,,,,,,,,,,,,,,,,,,,
Bledel,Alexis,60399415,yourname@buffalo.edu,0,0,0,0,0,0,0,0,0,0,56,51,23.5,,,,,,,,,,,,,,,,,,,,,,,
Bobby,Ricky,60541771,yourname@buffalo.edu,78,86,76,91,89,79,66,92,86,83,94,89,84.5,,,,,,,,,,,,,,,,,,,,,,,
Boy,Bill,60684127,yourname@buffalo.edu,93,92,95,97,99,97,98,98,98,90,79,81,70,,,,,,,,,,,,,,,,,,,,,,,
Brand,Russel,60826483,yourname@buffalo.edu,94,89,100,95,97,100,98,94,94,87,85,92,78.5,,,,,,,,,,,,,,,,,,,,,,,
Bryson,Bill,60968839,yourname@buffalo.edu,60,70,89,97,89,95,94,95,88,83,75,81,56,,,,,,,,,,,,,,,,,,,,,,,
Burgundy,Ron,61111195,yourname@buffalo.edu,81,90,93,100,98,99,96,100,98,88,91,94,89.5,,,,,,,,,,,,,,,,,,,,,,,
